529,529,529,529
174,174,174,174
290,290,290,290
366,366,366,366
460,460,460,460
445,445,445,445
509,509,509,509
543,543,543,543
545,545,545,545
515,515,515,515
561,561,561,561
537,537,537,537
549,549,549,549
560,560,560,560
582,582,582,582
586,586,586,586
586,586,586,586
566,566,566,566
528,528,528,528
542,542,542,542
530,530,530,530
570,570,570,570
643,643,643,643
513,513,513,513
560,560,560,560
592,592,592,592
524,524,524,524
560,560,560,560
653,653,653,653
563,563,563,563
544,544,544,544
564,564,564,564
581,581,581,581
527,527,527,527
654,654,654,654
511,511,511,511
543,543,543,543
553,553,553,553
586,586,586,586
582,582,582,582
567,567,567,567
562,562,562,562
561,561,561,561
556,556,556,556
568,568,568,568
547,547,547,547
521,521,521,521
562,562,562,562
484,484,484,484
519,519,519,519
513,513,513,513
525,525,525,525
492,492,492,492
506,506,506,506
496,496,496,496
506,506,506,506
515,515,515,515
479,479,479,479
594,594,594,594
385,385,385,385
530,530,530,530
529,529,529,529
538,538,538,538
504,504,504,504
515,515,515,515
504,504,504,504
530,530,530,530
510,510,510,510
517,517,517,517
515,515,515,515
513,513,513,513
586,586,586,586
524,524,524,524
502,502,502,502
449,449,449,449
524,524,524,524
540,540,540,540
514,514,514,514
500,500,500,500
526,526,526,526
527,527,527,527
523,523,523,523
514,514,514,514
507,507,507,507
486,486,486,486
537,537,537,537
549,549,549,549
536,536,536,536
437,437,437,437
489,489,489,489
522,522,522,522
519,519,519,519
470,470,470,470
522,522,522,522
506,506,506,506
488,488,488,488
490,490,490,490
516,516,516,516
502,502,502,502
511,511,511,511
