779,779,779,779
2047,2047,2047,2047
2047,2047,2047,2047
2047,2047,2047,2047
2047,2047,2047,2047
1860,1860,1860,1860
1607,1607,1607,1607
1420,1420,1420,1420
1278,1278,1278,1278
1184,1184,1184,1184
1110,1110,1110,1110
1055,1055,1055,1055
1017,1017,1017,1017
1006,1006,1006,1006
1005,1005,1005,1005
985,985,985,985
969,969,969,969
972,972,972,972
957,957,957,957
939,939,939,939
935,935,935,935
935,935,935,935
925,925,925,925
912,912,912,912
903,903,903,903
896,896,896,896
875,875,875,875
873,873,873,873
871,871,871,871
870,870,870,870
869,869,869,869
863,863,863,863
868,868,868,868
867,867,867,867
855,855,855,855
859,859,859,859
860,860,860,860
846,846,846,846
840,840,840,840
848,848,848,848
838,838,838,838
832,832,832,832
826,826,826,826
832,832,832,832
830,830,830,830
832,832,832,832
825,825,825,825
832,832,832,832
826,826,826,826
823,823,823,823
822,822,822,822
830,830,830,830
824,824,824,824
817,817,817,817
822,822,822,822
823,823,823,823
825,825,825,825
829,829,829,829
838,838,838,838
838,838,838,838
838,838,838,838
841,841,841,841
846,846,846,846
851,851,851,851
853,853,853,853
856,856,856,856
861,861,861,861
863,863,863,863
861,861,861,861
863,863,863,863
867,867,867,867
867,867,867,867
862,862,862,862
608,608,608,608
1098,1098,1098,1098
1142,1142,1142,1142
1175,1175,1175,1175
1190,1190,1190,1190
1123,1123,1123,1123
1091,1091,1091,1091
1036,1036,1036,1036
1001,1001,1001,1001
989,989,989,989
941,941,941,941
948,948,948,948
918,918,918,918
919,919,919,919
913,913,913,913
912,912,912,912
897,897,897,897
883,883,883,883
895,895,895,895
889,889,889,889
885,885,885,885
874,874,874,874
881,881,881,881
876,876,876,876
879,879,879,879
889,889,889,889
892,892,892,892
885,885,885,885
884,884,884,884
883,883,883,883
880,880,880,880
876,876,876,876
880,880,880,880
877,877,877,877
872,872,872,872
874,874,874,874
880,880,880,880
867,867,867,867
872,872,872,872
869,869,869,869
868,868,868,868
865,865,865,865
866,866,866,866
862,862,862,862
854,854,854,854
856,856,856,856
847,847,847,847
842,842,842,842
845,845,845,845
843,843,843,843
836,836,836,836
835,835,835,835
833,833,833,833
830,830,830,830
836,836,836,836
839,839,839,839
835,835,835,835
839,839,839,839
840,840,840,840
842,842,842,842
832,832,832,832
836,836,836,836
830,830,830,830
822,822,822,822
833,833,833,833
828,828,828,828
825,825,825,825
831,831,831,831
836,836,836,836
825,825,825,825
828,828,828,828
834,834,834,834
832,832,832,832
827,827,827,827
839,839,839,839
844,844,844,844
837,837,837,837
848,848,848,848
852,852,852,852
842,842,842,842
840,840,840,840
834,834,834,834
835,835,835,835
838,838,838,838
854,854,854,854
860,860,860,860
862,862,862,862
871,871,871,871
877,877,877,877
907,907,907,907
898,898,898,898
893,893,893,893
923,923,923,923
912,912,912,912
894,894,894,894
897,897,897,897
884,884,884,884
900,900,900,900
901,901,901,901
887,887,887,887
884,884,884,884
882,882,882,882
882,882,882,882
881,881,881,881
878,878,878,878
875,875,875,875
879,879,879,879
893,893,893,893
882,882,882,882
877,877,877,877
883,883,883,883
881,881,881,881
868,868,868,868
858,858,858,858
861,861,861,861
864,864,864,864
868,868,868,868
877,877,877,877
869,869,869,869
878,878,878,878
888,888,888,888
879,879,879,879
865,865,865,865
867,867,867,867
858,858,858,858
855,855,855,855
863,863,863,863
